"duration","credit_history","purpose","amount","age","housing","class"
6,"critical account/ other credits existing (not at this bank)","radio/television",1169,67,"own","Good"
48,"existing credits paid back duly till now","radio/television",5951,22,"own","Bad"
12,"critical account/ other credits existing (not at this bank)","education",2096,49,"own","Good"
42,"existing credits paid back duly till now","furniture/equipment",7882,45,"for free","Good"
24,"delay in paying off in the past","car (new)",4870,53,"for free","Bad"
36,"existing credits paid back duly till now","education",9055,35,"for free","Good"
24,"existing credits paid back duly till now","furniture/equipment",2835,53,"own","Good"
36,"existing credits paid back duly till now","car (used)",6948,35,"rent","Good"
12,"existing credits paid back duly till now","radio/television",3059,61,"own","Good"
30,"critical account/ other credits existing (not at this bank)","car (new)",5234,28,"own","Bad"
12,"existing credits paid back duly till now","car (new)",1295,25,"rent","Bad"
48,"existing credits paid back duly till now","business",4308,24,"rent","Bad"
12,"existing credits paid back duly till now","radio/television",1567,22,"own","Good"
24,"critical account/ other credits existing (not at this bank)","car (new)",1199,60,"own","Bad"
15,"existing credits paid back duly till now","car (new)",1403,28,"rent","Good"
24,"existing credits paid back duly till now","radio/television",1282,32,"own","Bad"
24,"critical account/ other credits existing (not at this bank)","radio/television",2424,53,"own","Good"
30,"no credits taken/ all credits paid back duly","business",8072,25,"own","Good"
24,"existing credits paid back duly till now","car (used)",12579,44,"for free","Bad"
24,"existing credits paid back duly till now","radio/television",3430,31,"own","Good"
9,"critical account/ other credits existing (not at this bank)","car (new)",2134,48,"own","Good"
6,"existing credits paid back duly till now","radio/television",2647,44,"rent","Good"
10,"critical account/ other credits existing (not at this bank)","car (new)",2241,48,"rent","Good"
12,"critical account/ other credits existing (not at this bank)","car (used)",1804,44,"own","Good"
10,"critical account/ other credits existing (not at this bank)","furniture/equipment",2069,26,"own","Good"
6,"existing credits paid back duly till now","furniture/equipment",1374,36,"own","Good"
6,"no credits taken/ all credits paid back duly","radio/television",426,39,"own","Good"
12,"all credits at this bank paid back duly","radio/television",409,42,"rent","Good"
7,"existing credits paid back duly till now","radio/television",2415,34,"own","Good"
60,"delay in paying off in the past","business",6836,63,"own","Bad"
18,"existing credits paid back duly till now","business",1913,36,"own","Good"
24,"existing credits paid back duly till now","furniture/equipment",4020,27,"own","Good"
18,"existing credits paid back duly till now","car (new)",5866,30,"own","Good"
12,"critical account/ other credits existing (not at this bank)","business",1264,57,"rent","Good"
12,"existing credits paid back duly till now","furniture/equipment",1474,33,"own","Good"
45,"critical account/ other credits existing (not at this bank)","radio/television",4746,25,"own","Bad"
48,"critical account/ other credits existing (not at this bank)","education",6110,31,"for free","Good"
18,"existing credits paid back duly till now","radio/television",2100,37,"own","Bad"
10,"existing credits paid back duly till now","domestic appliances",1225,37,"own","Good"
9,"existing credits paid back duly till now","radio/television",458,24,"own","Good"
30,"existing credits paid back duly till now","radio/television",2333,30,"own","Good"
12,"existing credits paid back duly till now","radio/television",1158,26,"own","Good"
18,"delay in paying off in the past","repairs",6204,44,"own","Good"
30,"critical account/ other credits existing (not at this bank)","car (used)",6187,24,"rent","Good"
48,"critical account/ other credits existing (not at this bank)","car (used)",6143,58,"for free","Bad"
11,"critical account/ other credits existing (not at this bank)","car (new)",1393,35,"own","Good"
36,"existing credits paid back duly till now","radio/television",2299,39,"own","Good"
6,"existing credits paid back duly till now","car (used)",1352,23,"rent","Good"
11,"critical account/ other credits existing (not at this bank)","car (new)",7228,39,"own","Good"
12,"existing credits paid back duly till now","radio/television",2073,28,"own","Good"
24,"delay in paying off in the past","furniture/equipment",2333,29,"own","Good"
27,"delay in paying off in the past","car (used)",5965,30,"own","Good"
12,"existing credits paid back duly till now","radio/television",1262,25,"own","Good"
18,"existing credits paid back duly till now","car (used)",3378,31,"own","Good"
36,"delay in paying off in the past","car (new)",2225,57,"for free","Bad"
6,"all credits at this bank paid back duly","car (new)",783,26,"own","Good"
12,"existing credits paid back duly till now","radio/television",6468,52,"own","Bad"
36,"critical account/ other credits existing (not at this bank)","radio/television",9566,31,"own","Good"
18,"existing credits paid back duly till now","car (new)",1961,23,"own","Good"
36,"critical account/ other credits existing (not at this bank)","furniture/equipment",6229,23,"rent","Bad"
9,"existing credits paid back duly till now","business",1391,27,"own","Good"
15,"critical account/ other credits existing (not at this bank)","radio/television",1537,50,"own","Good"
36,"no credits taken/ all credits paid back duly","business",1953,61,"for free","Bad"
48,"no credits taken/ all credits paid back duly","business",14421,25,"own","Bad"
24,"existing credits paid back duly till now","radio/television",3181,26,"own","Good"
27,"existing credits paid back duly till now","repairs",5190,48,"own","Good"
12,"existing credits paid back duly till now","radio/television",2171,29,"own","Good"
12,"existing credits paid back duly till now","car (new)",1007,22,"own","Good"
36,"existing credits paid back duly till now","education",1819,37,"for free","Bad"
36,"existing credits paid back duly till now","radio/television",2394,25,"own","Good"
36,"existing credits paid back duly till now","car (used)",8133,30,"own","Good"
7,"critical account/ other credits existing (not at this bank)","radio/television",730,46,"rent","Good"
8,"critical account/ other credits existing (not at this bank)","others",1164,51,"for free","Good"
42,"critical account/ other credits existing (not at this bank)","business",5954,41,"own","Good"
36,"existing credits paid back duly till now","education",1977,40,"own","Bad"
12,"critical account/ other credits existing (not at this bank)","car (used)",1526,66,"for free","Good"
42,"existing credits paid back duly till now","radio/television",3965,34,"own","Bad"
11,"delay in paying off in the past","radio/television",4771,51,"own","Good"
54,"no credits taken/ all credits paid back duly","car (used)",9436,39,"own","Good"
30,"existing credits paid back duly till now","furniture/equipment",3832,22,"own","Good"
24,"existing credits paid back duly till now","radio/television",5943,44,"own","Bad"
15,"existing credits paid back duly till now","radio/television",1213,47,"own","Good"
18,"existing credits paid back duly till now","business",1568,24,"rent","Good"
24,"existing credits paid back duly till now","others",1755,58,"own","Good"
10,"existing credits paid back duly till now","radio/television",2315,52,"own","Good"
12,"critical account/ other credits existing (not at this bank)","business",1412,29,"own","Good"
18,"critical account/ other credits existing (not at this bank)","furniture/equipment",1295,27,"own","Good"
36,"existing credits paid back duly till now","education",12612,47,"for free","Bad"
18,"existing credits paid back duly till now","car (new)",2249,30,"own","Good"
12,"no credits taken/ all credits paid back duly","repairs",1108,28,"own","Bad"
12,"critical account/ other credits existing (not at this bank)","radio/television",618,56,"own","Good"
12,"critical account/ other credits existing (not at this bank)","car (used)",1409,54,"own","Good"
12,"critical account/ other credits existing (not at this bank)","radio/television",797,33,"own","Bad"
24,"critical account/ other credits existing (not at this bank)","furniture/equipment",3617,20,"rent","Good"
12,"existing credits paid back duly till now","car (new)",1318,54,"own","Good"
54,"no credits taken/ all credits paid back duly","business",15945,58,"rent","Bad"
12,"critical account/ other credits existing (not at this bank)","education",2012,61,"own","Good"
18,"existing credits paid back duly till now","business",2622,34,"own","Good"
36,"critical account/ other credits existing (not at this bank)","radio/television",2337,36,"own","Good"
20,"delay in paying off in the past","car (used)",7057,36,"rent","Good"
24,"existing credits paid back duly till now","car (new)",1469,41,"rent","Good"
36,"existing credits paid back duly till now","radio/television",2323,24,"rent","Good"
6,"delay in paying off in the past","radio/television",932,24,"own","Good"
9,"critical account/ other credits existing (not at this bank)","furniture/equipment",1919,35,"rent","Good"
12,"existing credits paid back duly till now","car (used)",2445,26,"rent","Good"
24,"critical account/ other credits existing (not at this bank)","others",11938,39,"own","Bad"
18,"all credits at this bank paid back duly","car (new)",6458,39,"own","Bad"
12,"existing credits paid back duly till now","car (new)",6078,32,"own","Good"
24,"existing credits paid back duly till now","furniture/equipment",7721,30,"own","Good"
14,"existing credits paid back duly till now","business",1410,35,"own","Good"
6,"delay in paying off in the past","business",1449,31,"own","Good"
15,"existing credits paid back duly till now","education",392,23,"rent","Good"
18,"existing credits paid back duly till now","car (new)",6260,28,"rent","Good"
36,"critical account/ other credits existing (not at this bank)","car (new)",7855,25,"own","Bad"
12,"existing credits paid back duly till now","radio/television",1680,35,"own","Good"
48,"critical account/ other credits existing (not at this bank)","radio/television",3578,47,"own","Good"
42,"existing credits paid back duly till now","radio/television",7174,30,"own","Bad"
10,"critical account/ other credits existing (not at this bank)","furniture/equipment",2132,27,"rent","Good"
33,"critical account/ other credits existing (not at this bank)","furniture/equipment",4281,23,"own","Bad"
12,"critical account/ other credits existing (not at this bank)","car (new)",2366,36,"own","Good"
21,"existing credits paid back duly till now","radio/television",1835,25,"own","Bad"
24,"critical account/ other credits existing (not at this bank)","car (used)",3868,41,"rent","Good"
12,"existing credits paid back duly till now","furniture/equipment",1768,24,"rent","Good"
10,"critical account/ other credits existing (not at this bank)","car (new)",781,63,"for free","Good"
18,"existing credits paid back duly till now","furniture/equipment",1924,27,"rent","Bad"
12,"critical account/ other credits existing (not at this bank)","car (new)",2121,30,"own","Good"
12,"existing credits paid back duly till now","radio/television",701,40,"own","Good"
12,"existing credits paid back duly till now","repairs",639,30,"own","Bad"
12,"critical account/ other credits existing (not at this bank)","car (used)",1860,34,"own","Good"
12,"critical account/ other credits existing (not at this bank)","car (new)",3499,29,"own","Bad"
48,"existing credits paid back duly till now","car (new)",8487,24,"own","Good"
36,"delay in paying off in the past","education",6887,29,"own","Bad"
15,"existing credits paid back duly till now","furniture/equipment",2708,27,"own","Good"
18,"existing credits paid back duly till now","furniture/equipment",1984,47,"for free","Good"
60,"existing credits paid back duly till now","radio/television",10144,21,"own","Good"
12,"critical account/ other credits existing (not at this bank)","radio/television",1240,38,"own","Good"
27,"delay in paying off in the past","car (used)",8613,27,"own","Good"
12,"existing credits paid back duly till now","radio/television",766,66,"own","Bad"
15,"critical account/ other credits existing (not at this bank)","radio/television",2728,35,"own","Good"
12,"existing credits paid back duly till now","radio/television",1881,44,"rent","Good"
6,"existing credits paid back duly till now","car (new)",709,27,"own","Good"
36,"existing credits paid back duly till now","radio/television",4795,30,"own","Good"
27,"existing credits paid back duly till now","radio/television",3416,27,"own","Good"
18,"existing credits paid back duly till now","furniture/equipment",2462,22,"own","Bad"
21,"critical account/ other credits existing (not at this bank)","furniture/equipment",2288,23,"own","Good"
48,"all credits at this bank paid back duly","business",3566,30,"own","Good"
6,"critical account/ other credits existing (not at this bank)","car (new)",860,39,"own","Good"
12,"critical account/ other credits existing (not at this bank)","car (new)",682,51,"own","Good"
36,"critical account/ other credits existing (not at this bank)","furniture/equipment",5371,28,"own","Good"
18,"critical account/ other credits existing (not at this bank)","radio/television",1582,46,"own","Good"
6,"existing credits paid back duly till now","radio/television",1346,42,"for free","Good"
10,"existing credits paid back duly till now","radio/television",1924,38,"own","Good"
36,"existing credits paid back duly till now","radio/television",5848,24,"own","Good"
24,"critical account/ other credits existing (not at this bank)","car (used)",7758,29,"rent","Good"
24,"delay in paying off in the past","business",6967,36,"rent","Good"
12,"existing credits paid back duly till now","furniture/equipment",1282,20,"rent","Bad"
9,"critical account/ other credits existing (not at this bank)","repairs",1288,48,"own","Good"
12,"all credits at this bank paid back duly","retraining",339,45,"own","Good"
24,"existing credits paid back duly till now","car (new)",3512,38,"own","Good"
6,"critical account/ other credits existing (not at this bank)","radio/television",1898,34,"own","Good"
24,"critical account/ other credits existing (not at this bank)","radio/television",2872,36,"own","Good"
18,"critical account/ other credits existing (not at this bank)","car (new)",1055,30,"own","Good"
15,"existing credits paid back duly till now","domestic appliances",1262,36,"own","Good"
10,"existing credits paid back duly till now","car (new)",7308,70,"for free","Good"
36,"existing credits paid back duly till now","car (new)",909,36,"own","Good"
6,"existing credits paid back duly till now","furniture/equipment",2978,32,"own","Good"
18,"existing credits paid back duly till now","furniture/equipment",1131,33,"own","Bad"
11,"existing credits paid back duly till now","furniture/equipment",1577,20,"own","Good"
24,"existing credits paid back duly till now","furniture/equipment",3972,25,"rent","Good"
24,"critical account/ other credits existing (not at this bank)","business",1935,31,"own","Bad"
15,"no credits taken/ all credits paid back duly","car (new)",950,33,"rent","Bad"
12,"existing credits paid back duly till now","furniture/equipment",763,26,"own","Good"
24,"delay in paying off in the past","furniture/equipment",2064,34,"own","Bad"
8,"existing credits paid back duly till now","radio/television",1414,33,"own","Good"
21,"delay in paying off in the past","education",3414,26,"own","Bad"
30,"all credits at this bank paid back duly","car (used)",7485,53,"own","Bad"
12,"existing credits paid back duly till now","furniture/equipment",2577,42,"own","Good"
6,"critical account/ other credits existing (not at this bank)","radio/television",338,52,"own","Good"
12,"existing credits paid back duly till now","radio/television",1963,31,"rent","Good"
21,"critical account/ other credits existing (not at this bank)","car (new)",571,65,"own","Good"
36,"delay in paying off in the past","business",9572,28,"own","Bad"
36,"delay in paying off in the past","business",4455,30,"own","Bad"
21,"all credits at this bank paid back duly","car (new)",1647,40,"own","Bad"
24,"critical account/ other credits existing (not at this bank)","furniture/equipment",3777,50,"own","Good"
18,"critical account/ other credits existing (not at this bank)","car (new)",884,36,"own","Bad"
15,"critical account/ other credits existing (not at this bank)","radio/television",1360,31,"own","Good"
9,"all credits at this bank paid back duly","car (used)",5129,74,"for free","Bad"
16,"critical account/ other credits existing (not at this bank)","car (new)",1175,68,"for free","Good"
12,"existing credits paid back duly till now","radio/television",674,20,"own","Bad"
18,"no credits taken/ all credits paid back duly","furniture/equipment",3244,33,"own","Good"
24,"existing credits paid back duly till now","business",4591,54,"own","Bad"
48,"no credits taken/ all credits paid back duly","business",3844,34,"for free","Bad"
27,"existing credits paid back duly till now","business",3915,36,"own","Bad"
6,"existing credits paid back duly till now","radio/television",2108,29,"rent","Good"
45,"existing credits paid back duly till now","radio/television",3031,21,"rent","Bad"
9,"critical account/ other credits existing (not at this bank)","education",1501,34,"own","Bad"
6,"critical account/ other credits existing (not at this bank)","radio/television",1382,28,"own","Good"
12,"existing credits paid back duly till now","furniture/equipment",951,27,"rent","Bad"
24,"existing credits paid back duly till now","car (used)",2760,36,"for free","Good"
18,"delay in paying off in the past","furniture/equipment",4297,40,"own","Bad"
9,"critical account/ other credits existing (not at this bank)","education",936,52,"own","Good"
12,"existing credits paid back duly till now","car (new)",1168,27,"own","Good"
27,"delay in paying off in the past","business",5117,26,"own","Good"
12,"existing credits paid back duly till now","retraining",902,21,"rent","Bad"
12,"critical account/ other credits existing (not at this bank)","car (new)",1495,38,"own","Good"
30,"critical account/ other credits existing (not at this bank)","car (used)",10623,38,"for free","Good"
12,"critical account/ other credits existing (not at this bank)","furniture/equipment",1935,43,"own","Good"
12,"critical account/ other credits existing (not at this bank)","domestic appliances",1424,26,"own","Good"
24,"existing credits paid back duly till now","business",6568,21,"own","Good"
12,"existing credits paid back duly till now","car (used)",1413,55,"own","Good"
9,"critical account/ other credits existing (not at this bank)","radio/television",3074,33,"own","Good"
36,"existing credits paid back duly till now","radio/television",3835,45,"own","Good"
27,"no credits taken/ all credits paid back duly","business",5293,50,"own","Bad"
30,"delay in paying off in the past","business",1908,66,"own","Bad"
36,"critical account/ other credits existing (not at this bank)","radio/television",3342,51,"own","Good"
6,"critical account/ other credits existing (not at this bank)","retraining",932,39,"own","Good"
18,"no credits taken/ all credits paid back duly","business",3104,31,"own","Good"
36,"existing credits paid back duly till now","radio/television",3913,23,"own","Good"
24,"existing credits paid back duly till now","furniture/equipment",3021,24,"rent","Good"
10,"existing credits paid back duly till now","car (new)",1364,64,"own","Good"
12,"existing credits paid back duly till now","radio/television",625,26,"own","Good"
12,"existing credits paid back duly till now","education",1200,23,"rent","Good"
12,"existing credits paid back duly till now","radio/television",707,30,"own","Good"
24,"delay in paying off in the past","business",2978,32,"own","Good"
15,"existing credits paid back duly till now","car (used)",4657,30,"own","Good"
36,"no credits taken/ all credits paid back duly","repairs",2613,27,"own","Good"
48,"existing credits paid back duly till now","radio/television",10961,27,"own","Bad"
12,"existing credits paid back duly till now","furniture/equipment",7865,53,"for free","Bad"
9,"existing credits paid back duly till now","radio/television",1478,22,"own","Bad"
24,"existing credits paid back duly till now","furniture/equipment",3149,22,"for free","Good"
36,"existing credits paid back duly till now","radio/television",4210,26,"own","Bad"
9,"existing credits paid back duly till now","car (new)",2507,51,"for free","Good"
12,"existing credits paid back duly till now","radio/television",2141,35,"own","Good"
18,"existing credits paid back duly till now","radio/television",866,25,"own","Good"
4,"critical account/ other credits existing (not at this bank)","radio/television",1544,42,"own","Good"
24,"existing credits paid back duly till now","radio/television",1823,30,"own","Bad"
6,"existing credits paid back duly till now","car (new)",14555,23,"own","Bad"
21,"existing credits paid back duly till now","business",2767,61,"rent","Bad"
12,"critical account/ other credits existing (not at this bank)","radio/television",1291,35,"own","Good"
30,"existing credits paid back duly till now","radio/television",2522,39,"own","Good"
24,"existing credits paid back duly till now","car (new)",915,29,"own","Bad"
6,"existing credits paid back duly till now","radio/television",1595,51,"own","Good"
48,"no credits taken/ all credits paid back duly","car (used)",4605,24,"for free","Bad"
12,"critical account/ other credits existing (not at this bank)","business",1185,27,"own","Good"
12,"all credits at this bank paid back duly","retraining",3447,35,"own","Good"
24,"existing credits paid back duly till now","business",1258,25,"own","Good"
12,"critical account/ other credits existing (not at this bank)","radio/television",717,52,"own","Good"
6,"no credits taken/ all credits paid back duly","car (new)",1204,35,"rent","Good"
24,"existing credits paid back duly till now","furniture/equipment",1925,26,"own","Good"
18,"existing credits paid back duly till now","radio/television",433,22,"rent","Bad"
6,"critical account/ other credits existing (not at this bank)","car (new)",666,39,"own","Good"
12,"existing credits paid back duly till now","furniture/equipment",2251,46,"own","Good"
30,"existing credits paid back duly till now","car (new)",2150,24,"own","Bad"
24,"delay in paying off in the past","furniture/equipment",4151,35,"own","Good"
9,"existing credits paid back duly till now","furniture/equipment",2030,24,"own","Good"
60,"delay in paying off in the past","radio/television",7418,27,"own","Good"
24,"critical account/ other credits existing (not at this bank)","radio/television",2684,35,"own","Good"
12,"all credits at this bank paid back duly","radio/television",2149,29,"for free","Bad"
15,"existing credits paid back duly till now","car (used)",3812,23,"own","Good"
11,"critical account/ other credits existing (not at this bank)","radio/television",1154,57,"own","Good"
12,"existing credits paid back duly till now","furniture/equipment",1657,27,"own","Good"
24,"existing credits paid back duly till now","radio/television",1603,55,"own","Good"
18,"critical account/ other credits existing (not at this bank)","car (new)",5302,36,"for free","Good"
12,"critical account/ other credits existing (not at this bank)","education",2748,57,"for free","Good"
10,"critical account/ other credits existing (not at this bank)","car (new)",1231,32,"own","Good"
15,"existing credits paid back duly till now","radio/television",802,37,"own","Bad"
36,"critical account/ other credits existing (not at this bank)","business",6304,36,"own","Good"
24,"existing credits paid back duly till now","radio/television",1533,38,"own","Good"
14,"existing credits paid back duly till now","car (new)",8978,45,"own","Bad"
24,"existing credits paid back duly till now","radio/television",999,25,"own","Good"
18,"existing credits paid back duly till now","car (new)",2662,32,"own","Good"
12,"critical account/ other credits existing (not at this bank)","furniture/equipment",1402,37,"rent","Good"
48,"all credits at this bank paid back duly","car (new)",12169,36,"for free","Good"
48,"existing credits paid back duly till now","radio/television",3060,28,"own","Bad"
30,"existing credits paid back duly till now","repairs",11998,34,"own","Bad"
9,"existing credits paid back duly till now","radio/television",2697,32,"own","Good"
18,"critical account/ other credits existing (not at this bank)","radio/television",2404,26,"own","Good"
12,"existing credits paid back duly till now","furniture/equipment",1262,49,"own","Good"
6,"existing credits paid back duly till now","furniture/equipment",4611,32,"own","Bad"
24,"existing credits paid back duly till now","radio/television",1901,29,"rent","Good"
15,"critical account/ other credits existing (not at this bank)","car (used)",3368,23,"rent","Good"
12,"existing credits paid back duly till now","furniture/equipment",1574,50,"own","Good"
18,"all credits at this bank paid back duly","radio/television",1445,49,"own","Good"
15,"critical account/ other credits existing (not at this bank)","furniture/equipment",1520,63,"own","Good"
24,"critical account/ other credits existing (not at this bank)","car (new)",3878,37,"own","Good"
47,"existing credits paid back duly till now","car (new)",10722,35,"own","Good"
48,"existing credits paid back duly till now","car (used)",4788,26,"own","Good"
48,"delay in paying off in the past","others",7582,31,"for free","Good"
12,"existing credits paid back duly till now","radio/television",1092,49,"own","Good"
24,"delay in paying off in the past","radio/television",1024,48,"own","Bad"
12,"existing credits paid back duly till now","business",1076,26,"own","Good"
36,"existing credits paid back duly till now","car (used)",9398,28,"rent","Bad"
24,"critical account/ other credits existing (not at this bank)","car (used)",6419,44,"for free","Good"
42,"critical account/ other credits existing (not at this bank)","car (used)",4796,56,"for free","Good"
48,"critical account/ other credits existing (not at this bank)","business",7629,46,"own","Good"
48,"existing credits paid back duly till now","furniture/equipment",9960,26,"own","Bad"
12,"existing credits paid back duly till now","car (used)",4675,20,"rent","Good"
10,"existing credits paid back duly till now","car (new)",1287,45,"own","Good"
18,"existing credits paid back duly till now","furniture/equipment",2515,43,"own","Good"
21,"critical account/ other credits existing (not at this bank)","furniture/equipment",2745,32,"own","Good"
6,"existing credits paid back duly till now","car (new)",672,54,"own","Good"
36,"no credits taken/ all credits paid back duly","radio/television",3804,42,"own","Bad"
24,"critical account/ other credits existing (not at this bank)","car (new)",1344,37,"own","Bad"
10,"critical account/ other credits existing (not at this bank)","car (new)",1038,49,"own","Good"
48,"critical account/ other credits existing (not at this bank)","car (new)",10127,44,"for free","Bad"
6,"existing credits paid back duly till now","furniture/equipment",1543,33,"own","Good"
30,"existing credits paid back duly till now","car (used)",4811,24,"rent","Good"
12,"existing credits paid back duly till now","radio/television",727,33,"own","Bad"
8,"existing credits paid back duly till now","furniture/equipment",1237,24,"own","Bad"
9,"existing credits paid back duly till now","car (new)",276,22,"rent","Good"
48,"existing credits paid back duly till now","others",5381,40,"for free","Good"
24,"existing credits paid back duly till now","furniture/equipment",5511,25,"own","Good"
24,"existing credits paid back duly till now","furniture/equipment",3749,26,"own","Good"
12,"existing credits paid back duly till now","car (new)",685,25,"own","Bad"
4,"existing credits paid back duly till now","car (new)",1494,29,"own","Good"
36,"all credits at this bank paid back duly","furniture/equipment",2746,31,"own","Bad"
12,"existing credits paid back duly till now","furniture/equipment",708,38,"own","Good"
24,"existing credits paid back duly till now","furniture/equipment",4351,48,"own","Good"
12,"critical account/ other credits existing (not at this bank)","education",701,32,"own","Good"
15,"delay in paying off in the past","furniture/equipment",3643,27,"own","Good"
30,"critical account/ other credits existing (not at this bank)","car (new)",4249,28,"own","Bad"
24,"existing credits paid back duly till now","radio/television",1938,32,"own","Bad"
24,"existing credits paid back duly till now","car (used)",2910,34,"for free","Good"
18,"existing credits paid back duly till now","furniture/equipment",2659,28,"own","Good"
18,"critical account/ other credits existing (not at this bank)","car (new)",1028,36,"own","Good"
8,"critical account/ other credits existing (not at this bank)","car (new)",3398,39,"own","Good"
12,"critical account/ other credits existing (not at this bank)","furniture/equipment",5801,49,"rent","Good"
24,"existing credits paid back duly till now","car (new)",1525,34,"own","Good"
36,"existing credits paid back duly till now","radio/television",4473,31,"own","Good"
6,"existing credits paid back duly till now","radio/television",1068,28,"own","Good"
